node_id,type,x,y,demand,unit_profit,service_time,ready_time,due_time,shortage_penalty,lateness_penalty,depot_open_cost,depot_vehicle_cap
0,depot,35.0,35.0,,,0.0,,,,,20.0,5
1,depot,2,5,,,0.0,,,,,20.0,5
2,depot,65,5,,,0.0,,,,,20.0,5
3,depot,2,69,,,0.0,,,,,20.0,5
4,depot,65,69,,,0.0,,,,,20.0,5
5,customer,41,49,10.0,8.0,10.0,161.0,171.0,100.0,3.0,,
6,customer,35,17,7.0,8.0,10.0,50.0,60.0,100.0,3.0,,
7,customer,55,45,13.0,8.0,10.0,116.0,126.0,100.0,3.0,,
8,customer,55,20,19.0,8.0,10.0,149.0,159.0,100.0,3.0,,
9,customer,15,30,26.0,8.0,10.0,34.0,44.0,150.0,3.0,,
10,customer,25,30,3.0,8.0,10.0,99.0,109.0,100.0,3.0,,
11,customer,20,50,5.0,8.0,10.0,81.0,91.0,100.0,3.0,,
12,customer,10,43,9.0,8.0,10.0,95.0,105.0,100.0,3.0,,
13,customer,55,60,16.0,8.0,10.0,97.0,107.0,100.0,3.0,,
14,customer,30,60,16.0,8.0,10.0,124.0,134.0,100.0,3.0,,
15,customer,20,65,12.0,8.0,10.0,67.0,77.0,100.0,3.0,,
16,customer,50,35,19.0,8.0,10.0,63.0,73.0,100.0,3.0,,
17,customer,30,25,23.0,8.0,10.0,159.0,169.0,150.0,3.0,,
18,customer,15,10,20.0,8.0,10.0,32.0,42.0,100.0,3.0,,
19,customer,30,5,8.0,8.0,10.0,61.0,71.0,100.0,3.0,,
20,customer,10,20,19.0,8.0,10.0,75.0,85.0,100.0,3.0,,
21,customer,5,30,2.0,8.0,10.0,157.0,167.0,100.0,3.0,,
22,customer,20,40,12.0,8.0,10.0,87.0,97.0,100.0,3.0,,
23,customer,15,60,17.0,8.0,10.0,76.0,86.0,100.0,3.0,,
24,customer,45,65,9.0,8.0,10.0,126.0,136.0,100.0,3.0,,
25,customer,45,20,11.0,8.0,10.0,62.0,72.0,100.0,3.0,,
26,customer,45,10,18.0,8.0,10.0,97.0,107.0,100.0,3.0,,
27,customer,55,5,29.0,8.0,10.0,68.0,78.0,150.0,3.0,,
28,customer,65,35,3.0,8.0,10.0,153.0,163.0,100.0,3.0,,
29,customer,65,20,6.0,8.0,10.0,172.0,182.0,100.0,3.0,,
30,customer,45,30,17.0,8.0,10.0,132.0,142.0,100.0,3.0,,
31,customer,35,40,16.0,8.0,10.0,37.0,47.0,100.0,3.0,,
32,customer,41,37,16.0,8.0,10.0,39.0,49.0,100.0,3.0,,
33,customer,64,42,9.0,8.0,10.0,63.0,73.0,100.0,3.0,,
34,customer,40,60,21.0,8.0,10.0,71.0,81.0,150.0,3.0,,
35,customer,31,52,27.0,8.0,10.0,50.0,60.0,150.0,3.0,,
36,customer,35,69,23.0,8.0,10.0,141.0,151.0,150.0,3.0,,
37,customer,53,52,11.0,8.0,10.0,37.0,47.0,100.0,3.0,,
38,customer,65,55,14.0,8.0,10.0,117.0,127.0,100.0,3.0,,
39,customer,63,65,8.0,8.0,10.0,143.0,153.0,100.0,3.0,,
40,customer,2,60,5.0,8.0,10.0,41.0,51.0,100.0,3.0,,
41,customer,20,20,8.0,8.0,10.0,134.0,144.0,100.0,3.0,,
42,customer,5,5,16.0,8.0,10.0,83.0,93.0,100.0,3.0,,
43,customer,60,12,31.0,8.0,10.0,44.0,54.0,150.0,3.0,,
44,customer,40,25,9.0,8.0,10.0,85.0,95.0,100.0,3.0,,
