node_id,type,x,y,demand,unit_profit,service_time,ready_time,due_time,shortage_penalty,lateness_penalty,depot_open_cost,depot_vehicle_cap
0,depot,40.0,50.0,,,0.0,,,,,20.0,5
1,depot,0,5,,,0.0,,,,,20.0,5
2,depot,95,85,,,0.0,,,,,20.0,5
3,customer,25,85,20.0,8.0,10.0,145.0,175.0,100.0,3.0,,
4,customer,22,75,30.0,8.0,10.0,50.0,80.0,150.0,3.0,,
5,customer,22,85,10.0,8.0,10.0,109.0,139.0,100.0,3.0,,
6,customer,20,80,40.0,8.0,10.0,141.0,171.0,150.0,3.0,,
7,customer,20,85,20.0,8.0,10.0,41.0,71.0,100.0,3.0,,
8,customer,18,75,20.0,8.0,10.0,95.0,125.0,100.0,3.0,,
9,customer,15,75,20.0,8.0,10.0,79.0,109.0,100.0,3.0,,
10,customer,15,80,10.0,8.0,10.0,91.0,121.0,100.0,3.0,,
11,customer,10,35,20.0,8.0,10.0,91.0,121.0,100.0,3.0,,
12,customer,10,40,30.0,8.0,10.0,119.0,149.0,150.0,3.0,,
13,customer,8,40,40.0,8.0,10.0,59.0,89.0,150.0,3.0,,
14,customer,8,45,20.0,8.0,10.0,64.0,94.0,100.0,3.0,,
15,customer,5,35,10.0,8.0,10.0,142.0,172.0,100.0,3.0,,
16,customer,5,45,10.0,8.0,10.0,35.0,65.0,100.0,3.0,,
17,customer,2,40,20.0,8.0,10.0,58.0,88.0,100.0,3.0,,
18,customer,0,40,20.0,8.0,10.0,72.0,102.0,100.0,3.0,,
19,customer,0,45,20.0,8.0,10.0,149.0,179.0,100.0,3.0,,
20,customer,44,5,20.0,8.0,10.0,87.0,117.0,100.0,3.0,,
21,customer,42,10,40.0,8.0,10.0,72.0,102.0,150.0,3.0,,
22,customer,42,15,10.0,8.0,10.0,122.0,152.0,100.0,3.0,,
23,customer,40,5,10.0,8.0,10.0,67.0,97.0,100.0,3.0,,
24,customer,40,15,40.0,8.0,10.0,92.0,122.0,150.0,3.0,,
25,customer,38,5,30.0,8.0,10.0,65.0,95.0,150.0,3.0,,
26,customer,38,15,10.0,8.0,10.0,148.0,178.0,100.0,3.0,,
27,customer,35,5,20.0,8.0,10.0,154.0,184.0,100.0,3.0,,
28,customer,95,30,30.0,8.0,10.0,115.0,145.0,150.0,3.0,,
29,customer,95,35,20.0,8.0,10.0,62.0,92.0,100.0,3.0,,
30,customer,92,30,10.0,8.0,10.0,62.0,92.0,100.0,3.0,,
31,customer,90,35,10.0,8.0,10.0,67.0,97.0,100.0,3.0,,
32,customer,88,30,10.0,8.0,10.0,74.0,104.0,100.0,3.0,,
33,customer,88,35,20.0,8.0,10.0,61.0,91.0,100.0,3.0,,
34,customer,87,30,10.0,8.0,10.0,131.0,161.0,100.0,3.0,,
35,customer,85,25,10.0,8.0,10.0,51.0,81.0,100.0,3.0,,
36,customer,85,35,30.0,8.0,10.0,111.0,141.0,150.0,3.0,,
37,customer,67,85,20.0,8.0,10.0,139.0,169.0,100.0,3.0,,
38,customer,65,85,40.0,8.0,10.0,43.0,73.0,150.0,3.0,,
39,customer,65,82,10.0,8.0,10.0,124.0,154.0,100.0,3.0,,
40,customer,62,80,30.0,8.0,10.0,75.0,105.0,150.0,3.0,,
41,customer,60,80,10.0,8.0,10.0,37.0,67.0,100.0,3.0,,
42,customer,60,85,30.0,8.0,10.0,85.0,115.0,150.0,3.0,,
